STUDY_ID	SAMPLE_ID	APC
crc_public_genie_bpc	GENIE-DFCI-010862-11559	0
crc_public_genie_bpc	GENIE-DFCI-010903-10011	-1
crc_public_genie_bpc	GENIE-DFCI-010937-9497	0
crc_public_genie_bpc	GENIE-DFCI-011006-11475	-1
crc_public_genie_bpc	GENIE-DFCI-011010-10732	0
crc_public_genie_bpc	GENIE-DFCI-011074-11054	0
crc_public_genie_bpc	GENIE-DFCI-011096-11378	-1
crc_public_genie_bpc	GENIE-DFCI-011182-11603	0
crc_public_genie_bpc	GENIE-DFCI-011218-11641	0
crc_public_genie_bpc	GENIE-DFCI-011222-11823	0
crc_public_genie_bpc	GENIE-DFCI-011252-11577	0
crc_public_genie_bpc	GENIE-DFCI-011260-11665	0
crc_public_genie_bpc	GENIE-DFCI-011291-10623	0
crc_public_genie_bpc	GENIE-DFCI-011318-9766	0
crc_public_genie_bpc	GENIE-DFCI-011320-10900	0
crc_public_genie_bpc	GENIE-DFCI-011323-10318	0
crc_public_genie_bpc	GENIE-DFCI-011358-11358	-1
crc_public_genie_bpc	GENIE-DFCI-011391-10687	0
crc_public_genie_bpc	GENIE-DFCI-011396-11089	0
crc_public_genie_bpc	GENIE-DFCI-011405-10339	0
crc_public_genie_bpc	GENIE-DFCI-011427-10397	-1
crc_public_genie_bpc	GENIE-DFCI-011485-10600	0
crc_public_genie_bpc	GENIE-DFCI-011512-10189	0
crc_public_genie_bpc	GENIE-DFCI-011535-11255	0
crc_public_genie_bpc	GENIE-DFCI-011539-10180	-1
crc_public_genie_bpc	GENIE-DFCI-011551-10700	0
crc_public_genie_bpc	GENIE-DFCI-011599-11171	0
crc_public_genie_bpc	GENIE-DFCI-011599-481757	0
crc_public_genie_bpc	GENIE-DFCI-011660-11382	0
crc_public_genie_bpc	GENIE-DFCI-011676-10582	0
crc_public_genie_bpc	GENIE-DFCI-011695-10716	0
crc_public_genie_bpc	GENIE-DFCI-011726-10621	0
crc_public_genie_bpc	GENIE-DFCI-011888-23826	0
crc_public_genie_bpc	GENIE-DFCI-013270-23816	0
crc_public_genie_bpc	GENIE-DFCI-013710-23920	0
crc_public_genie_bpc	GENIE-DFCI-015256-23914	0
crc_public_genie_bpc	GENIE-DFCI-016815-23894	0
crc_public_genie_bpc	GENIE-DFCI-017652-23659	0
crc_public_genie_bpc	GENIE-DFCI-022876-23829	0
crc_public_genie_bpc	GENIE-DFCI-023427-23932	-1
crc_public_genie_bpc	GENIE-DFCI-023633-23873	0
crc_public_genie_bpc	GENIE-DFCI-023634-23881	0
crc_public_genie_bpc	GENIE-DFCI-023723-23707	0
crc_public_genie_bpc	GENIE-DFCI-023755-23751	0
crc_public_genie_bpc	GENIE-DFCI-023911-74912	0
crc_public_genie_bpc	GENIE-DFCI-024082-130672	-1
crc_public_genie_bpc	GENIE-DFCI-024158-74369	0
crc_public_genie_bpc	GENIE-DFCI-024179-74981	0
crc_public_genie_bpc	GENIE-DFCI-024220-74928	0
crc_public_genie_bpc	GENIE-DFCI-024297-116415	0
crc_public_genie_bpc	GENIE-DFCI-024438-130662	0
crc_public_genie_bpc	GENIE-DFCI-024579-36065	0
crc_public_genie_bpc	GENIE-DFCI-024718-158585	0
crc_public_genie_bpc	GENIE-DFCI-025142-74570	0
crc_public_genie_bpc	GENIE-DFCI-025458-116354	-1
crc_public_genie_bpc	GENIE-DFCI-025996-74258	0
crc_public_genie_bpc	GENIE-DFCI-026019-159243	0
crc_public_genie_bpc	GENIE-DFCI-026065-88683	0
crc_public_genie_bpc	GENIE-DFCI-026582-88548	0
crc_public_genie_bpc	GENIE-DFCI-026871-158949	0
crc_public_genie_bpc	GENIE-DFCI-027037-74931	0
crc_public_genie_bpc	GENIE-DFCI-027064-88589	0
crc_public_genie_bpc	GENIE-DFCI-028474-48524	0
crc_public_genie_bpc	GENIE-DFCI-030710-48478	0
crc_public_genie_bpc	GENIE-DFCI-030777-74257	-1
crc_public_genie_bpc	GENIE-DFCI-031398-48578	0
crc_public_genie_bpc	GENIE-DFCI-031982-75000	0
crc_public_genie_bpc	GENIE-DFCI-032144-36045	0
crc_public_genie_bpc	GENIE-DFCI-033013-116021	0
crc_public_genie_bpc	GENIE-DFCI-033760-130562	0
crc_public_genie_bpc	GENIE-DFCI-034029-159026	0
crc_public_genie_bpc	GENIE-DFCI-034097-130334	0
crc_public_genie_bpc	GENIE-DFCI-034187-88478	-1
crc_public_genie_bpc	GENIE-DFCI-034441-116348	0
crc_public_genie_bpc	GENIE-DFCI-034485-158933	-1
crc_public_genie_bpc	GENIE-DFCI-035106-48568	0
crc_public_genie_bpc	GENIE-DFCI-035417-36270	0
crc_public_genie_bpc	GENIE-DFCI-035616-61654	0
crc_public_genie_bpc	GENIE-DFCI-035767-36218	0
crc_public_genie_bpc	GENIE-DFCI-035828-74736	0
crc_public_genie_bpc	GENIE-DFCI-036255-130671	0
crc_public_genie_bpc	GENIE-DFCI-036347-36256	0
crc_public_genie_bpc	GENIE-DFCI-036421-61424	0
crc_public_genie_bpc	GENIE-DFCI-036422-74434	-1
