WGD,Types,Regions,Copy_number_1,Counts
TRUE,"('stop_gained', 'frameshift')","(0, 1)","(2.0, 2.0)",4
TRUE,"('stop_gained', 'frameshift')","(0, 1)","(3.0, 2.0)",1
TRUE,"('stop_gained', 'frameshift')","(0, 2)","(1.0, 0.0)",1
TRUE,"('stop_gained', 'frameshift')","(0, 2)","(1.0, 1.0)",8
TRUE,"('stop_gained', 'frameshift')","(0, 2)","(2.0, 0.0)",1
TRUE,"('stop_gained', 'frameshift')","(0, 2)","(2.0, 1.0)",15
TRUE,"('stop_gained', 'frameshift')","(0, 2)","(2.0, 2.0)",3
TRUE,"('stop_gained', 'frameshift')","(0, 2)","(3.0, 0.0)",1
TRUE,"('stop_gained', 'frameshift')","(0, 2)","(3.0, 1.0)",1
TRUE,"('stop_gained', 'frameshift')","(0, 3)","(1.0, 0.0)",1
TRUE,"('stop_gained', 'frameshift')","(0, 3)","(1.0, 1.0)",1
TRUE,"('stop_gained', 'frameshift')","(0, 3)","(2.0, 0.0)",2
TRUE,"('stop_gained', 'frameshift')","(0, 3)","(2.0, 1.0)",12
TRUE,"('stop_gained', 'frameshift')","(0, 3)","(2.0, 2.0)",5
TRUE,"('stop_gained', 'frameshift')","(0, 3)","(3.0, 2.0)",2
TRUE,"('stop_gained', 'frameshift')","(1, 1)","(1.0, 1.0)",1
TRUE,"('stop_gained', 'frameshift')","(1, 1)","(2.0, 1.0)",1
TRUE,"('stop_gained', 'frameshift')","(1, 2)","(1.0, 1.0)",1
TRUE,"('stop_gained', 'frameshift')","(2, 2)","(2.0, 2.0)",1
TRUE,"('stop_gained', 'frameshift', 'stop_gained')","(0, 2, 2)","(2.0, 1.0)",1
TRUE,"('stop_gained', 'frameshift', 'stop_gained', 'frameshift')","(0, 3, 0, 3)","(1.0, 1.0)",1
TRUE,"('stop_gained', 'frameshift', 'stop_gained', 'frameshift', 'stop_gained', 'frameshift')","(3, 3, 3, 3, 3, 3)","(1.0, 1.0)",1
TRUE,"('stop_gained', 'frameshift', 'stop_gained', 'stop_gained', 'frameshift', 'stop_gained')","(0, 1, 1, 0, 1, 1)","(2.0, 1.0)",1
TRUE,"('stop_gained', 'stop_gained')","(0, 0)","(1.0, 1.0)",2
TRUE,"('stop_gained', 'stop_gained')","(0, 0)","(2.0, 0.0)",2
TRUE,"('stop_gained', 'stop_gained')","(0, 0)","(2.0, 1.0)",2
TRUE,"('stop_gained', 'stop_gained')","(0, 0)","(3.0, 0.0)",1
TRUE,"('stop_gained', 'stop_gained')","(0, 1)","(1.0, 1.0)",10
TRUE,"('stop_gained', 'stop_gained')","(0, 1)","(2.0, 1.0)",11
TRUE,"('stop_gained', 'stop_gained')","(0, 1)","(2.0, 2.0)",5
TRUE,"('stop_gained', 'stop_gained')","(0, 1)","(3.0, 1.0)",3
TRUE,"('stop_gained', 'stop_gained')","(0, 2)","(1.0, 1.0)",6
TRUE,"('stop_gained',)","(2,)","(2.0, 0.0)",2
TRUE,"('stop_gained', 'stop_gained')","(0, 2)","(2.0, 1.0)",16
TRUE,"('stop_gained', 'stop_gained')","(0, 2)","(2.0, 2.0)",6
TRUE,"('stop_gained', 'stop_gained')","(0, 2)","(3.0, 1.0)",2
TRUE,"('stop_gained', 'stop_gained')","(0, 2)","(3.0, 3.0)",1
TRUE,"('stop_gained', 'stop_gained')","(0, 2)","(6.0, 0.0)",1
TRUE,"('stop_gained', 'stop_gained')","(0, 3)","(2.0, 1.0)",1
TRUE,"('stop_gained', 'stop_gained')","(1, 0)","(2.0, 0.0)",1
TRUE,"('stop_gained', 'stop_gained')","(1, 1)","(2.0, 2.0)",2
TRUE,"('stop_gained', 'stop_gained')","(1, 2)","(1.0, 1.0)",1
TRUE,"('stop_gained', 'stop_gained')","(2, 3)","(2.0, 1.0)",1
TRUE,"('stop_gained', 'stop_gained', 'frameshift', 'stop_gained')","(0, 0, 3, 3)","(2.0, 0.0)",1
TRUE,"('stop_gained', 'stop_gained', 'stop_gained')","(0, 2, 2)","(1.0, 1.0)",1
TRUE,"('stop_gained', 'stop_gained', 'stop_gained')","(0, 2, 2)","(2.0, 1.0)",1
TRUE,"('stop_gained', 'stop_gained', 'stop_gained')","(0, 2, 2)","(3.0, 3.0)",1
TRUE,"('stop_gained', 'stop_gained', 'stop_gained')","(0, 0, 3)","(2.0, 1.0)",1
TRUE,"('stop_gained', 'stop_gained', 'stop_gained')","(0, 1, 1)","(2.0, 0.0)",2
TRUE,"('stop_gained', 'stop_gained', 'stop_gained', 'stop_gained')","(0, 0, 0, 0)","(2.0, 0.0)",1
TRUE,"('stop_gained', 'stop_gained', 'stop_gained', 'stop_gained')","(0, 2, 0, 2)","(1.0, 0.0)",1
TRUE,"('stop_gained', 'stop_gained', 'stop_gained', 'stop_gained')","(1, 1, 1, 1)","(3.0, 0.0)",1
TRUE,"('stop_gained', 'stop_gained', 'stop_gained', 'stop_gained')","(2, 2, 2, 2)","(2.0, 0.0)",2
TRUE,"('stop_gained', 'stop_gained', 'stop_gained', 'stop_gained', 'stop_gained', 'stop_gained', 'stop_gained', 'stop_gained')","(0, 0, 0, 0, 0, 0, 0, 0)","(2.0, 1.0)",1
